,crime,cuadrante,difference,end_period1,end_period2,period1_count,period2_count,population,sector,start_period1,start_period2
45,HOMICIDIO DOLOSO,C-2.1.17,0,2020-05,2021-05,1,1,9684.0,ASTURIAS,2019-06,2020-06
46,HOMICIDIO DOLOSO,C-2.1.18,-2,2020-05,2021-05,2,0,4621.0,ASTURIAS,2019-06,2020-06
47,HOMICIDIO DOLOSO,C-2.1.2,1,2020-05,2021-05,1,2,4684.0,ASTURIAS,2019-06,2020-06
48,HOMICIDIO DOLOSO,C-2.1.3,-4,2020-05,2021-05,4,0,8684.0,ASTURIAS,2019-06,2020-06
49,HOMICIDIO DOLOSO,C-2.1.4,-1,2020-05,2021-05,1,0,10072.0,ASTURIAS,2019-06,2020-06
50,HOMICIDIO DOLOSO,C-2.1.5,0,2020-05,2021-05,0,0,2967.0,ASTURIAS,2019-06,2020-06
51,HOMICIDIO DOLOSO,C-2.1.6,1,2020-05,2021-05,1,2,5381.0,ASTURIAS,2019-06,2020-06
52,HOMICIDIO DOLOSO,C-2.1.7,2,2020-05,2021-05,1,3,8944.0,ASTURIAS,2019-06,2020-06
53,HOMICIDIO DOLOSO,C-2.1.8,-1,2020-05,2021-05,1,0,12999.0,ASTURIAS,2019-06,2020-06
54,HOMICIDIO DOLOSO,C-2.1.9,1,2020-05,2021-05,0,1,4318.0,ASTURIAS,2019-06,2020-06
55,HOMICIDIO DOLOSO,C-2.2.1,-1,2020-05,2021-05,1,0,7494.0,BUENAVISTA,2019-06,2020-06
56,HOMICIDIO DOLOSO,C-2.2.10,0,2020-05,2021-05,1,1,839.0,BUENAVISTA,2019-06,2020-06
57,HOMICIDIO DOLOSO,C-2.2.11,-2,2020-05,2021-05,3,1,7260.0,BUENAVISTA,2019-06,2020-06
58,HOMICIDIO DOLOSO,C-2.2.12,-1,2020-05,2021-05,2,1,9110.0,BUENAVISTA,2019-06,2020-06
59,HOMICIDIO DOLOSO,C-2.2.13,0,2020-05,2021-05,0,0,2760.0,BUENAVISTA,2019-06,2020-06
60,HOMICIDIO DOLOSO,C-2.2.14,1,2020-05,2021-05,0,1,4567.0,BUENAVISTA,2019-06,2020-06
61,HOMICIDIO DOLOSO,C-2.2.15,0,2020-05,2021-05,2,2,9075.0,BUENAVISTA,2019-06,2020-06
62,HOMICIDIO DOLOSO,C-2.2.16,-1,2020-05,2021-05,1,0,5227.0,BUENAVISTA,2019-06,2020-06
63,HOMICIDIO DOLOSO,C-2.2.17,0,2020-05,2021-05,0,0,1861.0,REVOLUCION-ALAMEDA,2019-06,2020-06
64,HOMICIDIO DOLOSO,C-2.2.18,1,2020-05,2021-05,1,2,2479.0,REVOLUCION-ALAMEDA,2019-06,2020-06
65,HOMICIDIO DOLOSO,C-2.2.2,-2,2020-05,2021-05,4,2,8422.0,BUENAVISTA,2019-06,2020-06
66,HOMICIDIO DOLOSO,C-2.2.3,-1,2020-05,2021-05,1,0,4746.0,BUENAVISTA,2019-06,2020-06
67,HOMICIDIO DOLOSO,C-2.2.4,0,2020-05,2021-05,0,0,7555.0,BUENAVISTA,2019-06,2020-06
68,HOMICIDIO DOLOSO,C-2.2.5,-1,2020-05,2021-05,1,0,3118.0,BUENAVISTA,2019-06,2020-06
69,HOMICIDIO DOLOSO,C-2.2.6,0,2020-05,2021-05,0,0,4477.0,BUENAVISTA,2019-06,2020-06
70,HOMICIDIO DOLOSO,C-2.2.7,-1,2020-05,2021-05,1,0,5148.0,BUENAVISTA,2019-06,2020-06
71,HOMICIDIO DOLOSO,C-2.2.8,0,2020-05,2021-05,0,0,8037.0,BUENAVISTA,2019-06,2020-06
72,HOMICIDIO DOLOSO,C-2.2.9,0,2020-05,2021-05,0,0,6729.0,BUENAVISTA,2019-06,2020-06
73,HOMICIDIO DOLOSO,C-2.3.1,0,2020-05,2021-05,3,3,4471.0,MORELOS,2019-06,2020-06
74,HOMICIDIO DOLOSO,C-2.3.2,-5,2020-05,2021-05,6,1,12649.0,MORELOS,2019-06,2020-06
75,HOMICIDIO DOLOSO,C-2.3.3,-4,2020-05,2021-05,6,2,6832.0,MORELOS,2019-06,2020-06
76,HOMICIDIO DOLOSO,C-2.3.4,-1,2020-05,2021-05,9,8,6619.0,MORELOS,2019-06,2020-06
77,HOMICIDIO DOLOSO,C-2.3.5,4,2020-05,2021-05,1,5,5091.0,MORELOS,2019-06,2020-06
78,HOMICIDIO DOLOSO,C-2.4.1,0,2020-05,2021-05,0,0,3896.0,ROMA,2019-06,2020-06
79,HOMICIDIO DOLOSO,C-2.4.10,0,2020-05,2021-05,0,0,5640.0,ROMA,2019-06,2020-06
80,HOMICIDIO DOLOSO,C-2.4.11,0,2020-05,2021-05,0,0,6134.0,ROMA,2019-06,2020-06
81,HOMICIDIO DOLOSO,C-2.4.12,0,2020-05,2021-05,0,0,6542.0,ROMA,2019-06,2020-06
82,HOMICIDIO DOLOSO,C-2.4.13,0,2020-05,2021-05,0,0,7814.0,ROMA,2019-06,2020-06
83,HOMICIDIO DOLOSO,C-2.4.14,0,2020-05,2021-05,0,0,4759.0,ROMA,2019-06,2020-06
84,HOMICIDIO DOLOSO,C-2.4.15,0,2020-05,2021-05,0,0,4274.0,ROMA,2019-06,2020-06
85,HOMICIDIO DOLOSO,C-2.4.2,0,2020-05,2021-05,0,0,4132.0,ROMA,2019-06,2020-06
86,HOMICIDIO DOLOSO,C-2.4.3,0,2020-05,2021-05,0,0,1996.0,ROMA,2019-06,2020-06
87,HOMICIDIO DOLOSO,C-2.4.4,-1,2020-05,2021-05,1,0,2662.0,ROMA,2019-06,2020-06
88,HOMICIDIO DOLOSO,C-2.4.5,0,2020-05,2021-05,0,0,5796.0,ROMA,2019-06,2020-06
89,HOMICIDIO DOLOSO,C-2.4.6,1,2020-05,2021-05,0,1,6909.0,ROMA,2019-06,2020-06
90,HOMICIDIO DOLOSO,C-2.4.7,0,2020-05,2021-05,1,1,4140.0,ROMA,2019-06,2020-06
91,HOMICIDIO DOLOSO,C-2.4.8,-1,2020-05,2021-05,1,0,3403.0,ROMA,2019-06,2020-06
92,HOMICIDIO DOLOSO,C-2.4.9,1,2020-05,2021-05,0,1,2337.0,ROMA,2019-06,2020-06
93,HOMICIDIO DOLOSO,C-2.5.1,2,2020-05,2021-05,0,2,8050.0,TLATELOLCO,2019-06,2020-06
94,HOMICIDIO DOLOSO,C-2.5.10,1,2020-05,2021-05,0,1,11178.0,TLATELOLCO,2019-06,2020-06
95,HOMICIDIO DOLOSO,C-2.5.11,0,2020-05,2021-05,0,0,8487.0,TLATELOLCO,2019-06,2020-06
96,HOMICIDIO DOLOSO,C-2.5.12,-1,2020-05,2021-05,1,0,8178.0,TLATELOLCO,2019-06,2020-06
97,HOMICIDIO DOLOSO,C-2.5.2,-1,2020-05,2021-05,2,1,4928.0,TLATELOLCO,2019-06,2020-06
98,HOMICIDIO DOLOSO,C-2.5.3,0,2020-05,2021-05,2,2,2935.0,TLATELOLCO,2019-06,2020-06
99,HOMICIDIO DOLOSO,C-2.5.4,-1,2020-05,2021-05,3,2,10190.0,TLATELOLCO,2019-06,2020-06
100,HOMICIDIO DOLOSO,C-2.5.5,0,2020-05,2021-05,1,1,5406.0,TLATELOLCO,2019-06,2020-06
101,HOMICIDIO DOLOSO,C-2.5.6,-3,2020-05,2021-05,5,2,16096.0,TLATELOLCO,2019-06,2020-06
102,HOMICIDIO DOLOSO,C-2.5.7,-3,2020-05,2021-05,3,0,6281.0,TLATELOLCO,2019-06,2020-06
103,HOMICIDIO DOLOSO,C-2.5.8,-2,2020-05,2021-05,3,1,4491.0,TLATELOLCO,2019-06,2020-06
104,HOMICIDIO DOLOSO,C-2.5.9,-2,2020-05,2021-05,3,1,10117.0,TLATELOLCO,2019-06,2020-06
105,HOMICIDIO DOLOSO,N-1.1.1,2,2020-05,2021-05,1,3,15315.0,CUAUTEPEC,2019-06,2020-06
106,HOMICIDIO DOLOSO,N-1.1.10,0,2020-05,2021-05,1,1,5219.0,CUAUTEPEC,2019-06,2020-06
107,HOMICIDIO DOLOSO,N-1.1.11,0,2020-05,2021-05,3,3,4959.0,CUAUTEPEC,2019-06,2020-06
108,HOMICIDIO DOLOSO,N-1.1.12,0,2020-05,2021-05,1,1,13429.0,CUAUTEPEC,2019-06,2020-06
109,HOMICIDIO DOLOSO,N-1.1.13,1,2020-05,2021-05,2,3,18341.0,CUAUTEPEC,2019-06,2020-06
110,HOMICIDIO DOLOSO,N-1.1.14,0,2020-05,2021-05,0,0,8607.0,CUAUTEPEC,2019-06,2020-06
111,HOMICIDIO DOLOSO,N-1.1.15,-2,2020-05,2021-05,4,2,14996.0,CUAUTEPEC,2019-06,2020-06
112,HOMICIDIO DOLOSO,N-1.1.16,-1,2020-05,2021-05,3,2,13215.0,CUAUTEPEC,2019-06,2020-06
113,HOMICIDIO DOLOSO,N-1.1.17,1,2020-05,2021-05,1,2,13514.0,CUAUTEPEC,2019-06,2020-06
114,HOMICIDIO DOLOSO,N-1.1.18,2,2020-05,2021-05,4,6,30453.0,CUAUTEPEC,2019-06,2020-06
115,HOMICIDIO DOLOSO,N-1.1.19,2,2020-05,2021-05,2,4,14101.0,CUAUTEPEC,2019-06,2020-06
116,HOMICIDIO DOLOSO,N-1.1.2,1,2020-05,2021-05,2,3,21058.0,CUAUTEPEC,2019-06,2020-06
117,HOMICIDIO DOLOSO,N-1.1.20,-10,2020-05,2021-05,14,4,16797.0,CUAUTEPEC,2019-06,2020-06
118,HOMICIDIO DOLOSO,N-1.1.21,-2,2020-05,2021-05,4,2,10921.0,CUAUTEPEC,2019-06,2020-06
119,HOMICIDIO DOLOSO,N-1.1.3,1,2020-05,2021-05,0,1,24271.0,CUAUTEPEC,2019-06,2020-06
120,HOMICIDIO DOLOSO,N-1.1.4,-1,2020-05,2021-05,1,0,9411.0,CUAUTEPEC,2019-06,2020-06
121,HOMICIDIO DOLOSO,N-1.1.5,0,2020-05,2021-05,1,1,11447.0,CUAUTEPEC,2019-06,2020-06
122,HOMICIDIO DOLOSO,N-1.1.6,0,2020-05,2021-05,1,1,14525.0,CUAUTEPEC,2019-06,2020-06
123,HOMICIDIO DOLOSO,N-1.1.7,-1,2020-05,2021-05,1,0,2195.0,CUAUTEPEC,2019-06,2020-06
124,HOMICIDIO DOLOSO,N-1.1.8,1,2020-05,2021-05,1,2,13794.0,CUAUTEPEC,2019-06,2020-06
125,HOMICIDIO DOLOSO,N-1.1.9,0,2020-05,2021-05,0,0,3929.0,CUAUTEPEC,2019-06,2020-06
126,HOMICIDIO DOLOSO,N-1.2.1,1,2020-05,2021-05,1,2,16393.0,LINDAVISTA,2019-06,2020-06
127,HOMICIDIO DOLOSO,N-1.2.10,2,2020-05,2021-05,0,2,8033.0,LINDAVISTA,2019-06,2020-06
128,HOMICIDIO DOLOSO,N-1.2.11,2,2020-05,2021-05,0,2,3682.0,LINDAVISTA,2019-06,2020-06
129,HOMICIDIO DOLOSO,N-1.2.12,-1,2020-05,2021-05,1,0,4654.0,LINDAVISTA,2019-06,2020-06
130,HOMICIDIO DOLOSO,N-1.2.13,0,2020-05,2021-05,3,3,5496.0,LINDAVISTA,2019-06,2020-06
131,HOMICIDIO DOLOSO,N-1.2.14,1,2020-05,2021-05,0,1,5732.0,LINDAVISTA,2019-06,2020-06
132,HOMICIDIO DOLOSO,N-1.2.15,-5,2020-05,2021-05,8,3,10360.0,LINDAVISTA,2019-06,2020-06
133,HOMICIDIO DOLOSO,N-1.2.16,0,2020-05,2021-05,0,0,3422.0,LINDAVISTA,2019-06,2020-06
134,HOMICIDIO DOLOSO,N-1.2.17,0,2020-05,2021-05,0,0,10830.0,LINDAVISTA,2019-06,2020-06
135,HOMICIDIO DOLOSO,N-1.2.2,-1,2020-05,2021-05,2,1,33.0,LINDAVISTA,2019-06,2020-06
136,HOMICIDIO DOLOSO,N-1.2.3,-1,2020-05,2021-05,1,0,6234.0,LINDAVISTA,2019-06,2020-06
137,HOMICIDIO DOLOSO,N-1.2.4,1,2020-05,2021-05,0,1,3105.0,LINDAVISTA,2019-06,2020-06
138,HOMICIDIO DOLOSO,N-1.2.5,0,2020-05,2021-05,0,0,2029.0,LINDAVISTA,2019-06,2020-06
139,HOMICIDIO DOLOSO,N-1.2.6,-2,2020-05,2021-05,2,0,2588.0,LINDAVISTA,2019-06,2020-06
140,HOMICIDIO DOLOSO,N-1.2.7,-1,2020-05,2021-05,1,0,1931.0,LINDAVISTA,2019-06,2020-06
141,HOMICIDIO DOLOSO,N-1.2.8,1,2020-05,2021-05,0,1,4937.0,LINDAVISTA,2019-06,2020-06
142,HOMICIDIO DOLOSO,N-1.2.9,-1,2020-05,2021-05,2,1,3179.0,LINDAVISTA,2019-06,2020-06
143,HOMICIDIO DOLOSO,N-1.3.1,-1,2020-05,2021-05,3,2,14187.0,TICOMAN,2019-06,2020-06
144,HOMICIDIO DOLOSO,N-1.3.10,-5,2020-05,2021-05,5,0,17800.0,TICOMAN,2019-06,2020-06
145,HOMICIDIO DOLOSO,N-1.3.11,-1,2020-05,2021-05,1,0,7695.0,TICOMAN,2019-06,2020-06
