,count,crime,end_date,hour,start_date
399,4,ROBO A BORDO DE METRO C.V.,2021-05,13,2020-06
400,4,ROBO A BORDO DE METRO C.V.,2021-05,14,2020-06
401,6,ROBO A BORDO DE METRO C.V.,2021-05,15,2020-06
402,5,ROBO A BORDO DE METRO C.V.,2021-05,16,2020-06
403,5,ROBO A BORDO DE METRO C.V.,2021-05,17,2020-06
404,5,ROBO A BORDO DE METRO C.V.,2021-05,18,2020-06
405,6,ROBO A BORDO DE METRO C.V.,2021-05,19,2020-06
406,4,ROBO A BORDO DE METRO C.V.,2021-05,20,2020-06
407,3,ROBO A BORDO DE METRO C.V.,2021-05,21,2020-06
408,4,ROBO A BORDO DE METRO C.V.,2021-05,23,2020-06
409,213,ROBO A TRANSEUNTE C.V.,2021-05,00,2020-06
410,161,ROBO A TRANSEUNTE C.V.,2021-05,01,2020-06
411,123,ROBO A TRANSEUNTE C.V.,2021-05,02,2020-06
412,97,ROBO A TRANSEUNTE C.V.,2021-05,03,2020-06
413,100,ROBO A TRANSEUNTE C.V.,2021-05,04,2020-06
414,188,ROBO A TRANSEUNTE C.V.,2021-05,05,2020-06
415,209,ROBO A TRANSEUNTE C.V.,2021-05,06,2020-06
416,198,ROBO A TRANSEUNTE C.V.,2021-05,07,2020-06
417,250,ROBO A TRANSEUNTE C.V.,2021-05,08,2020-06
418,249,ROBO A TRANSEUNTE C.V.,2021-05,09,2020-06
419,372,ROBO A TRANSEUNTE C.V.,2021-05,10,2020-06
420,460,ROBO A TRANSEUNTE C.V.,2021-05,11,2020-06
421,481,ROBO A TRANSEUNTE C.V.,2021-05,12,2020-06
422,558,ROBO A TRANSEUNTE C.V.,2021-05,13,2020-06
423,556,ROBO A TRANSEUNTE C.V.,2021-05,14,2020-06
424,576,ROBO A TRANSEUNTE C.V.,2021-05,15,2020-06
425,484,ROBO A TRANSEUNTE C.V.,2021-05,16,2020-06
426,406,ROBO A TRANSEUNTE C.V.,2021-05,17,2020-06
427,414,ROBO A TRANSEUNTE C.V.,2021-05,18,2020-06
428,523,ROBO A TRANSEUNTE C.V.,2021-05,19,2020-06
429,557,ROBO A TRANSEUNTE C.V.,2021-05,20,2020-06
430,510,ROBO A TRANSEUNTE C.V.,2021-05,21,2020-06
431,412,ROBO A TRANSEUNTE C.V.,2021-05,22,2020-06
432,345,ROBO A TRANSEUNTE C.V.,2021-05,23,2020-06
