,count,crime,date,population
90,277,ROBO A BORDO DE METRO S.V.,2019-04,8785911
91,269,ROBO A BORDO DE METRO S.V.,2019-05,8785911
92,195,ROBO A BORDO DE METRO S.V.,2019-06,8785911
93,154,ROBO A BORDO DE METRO S.V.,2019-07,8785911
94,119,ROBO A BORDO DE METRO S.V.,2019-08,8785911
95,114,ROBO A BORDO DE METRO S.V.,2019-09,8785911
96,127,ROBO A BORDO DE METRO S.V.,2019-10,8785911
97,104,ROBO A BORDO DE METRO S.V.,2019-11,8785911
98,102,ROBO A BORDO DE METRO S.V.,2019-12,8785911
99,99,ROBO A BORDO DE METRO S.V.,2020-01,8785911
100,121,ROBO A BORDO DE METRO S.V.,2020-02,8785911
101,84,ROBO A BORDO DE METRO S.V.,2020-03,8785911
102,14,ROBO A BORDO DE METRO S.V.,2020-04,8785911
103,17,ROBO A BORDO DE METRO S.V.,2020-05,8785911
104,26,ROBO A BORDO DE METRO S.V.,2020-06,8785911
105,41,ROBO A BORDO DE METRO S.V.,2020-07,8785911
106,49,ROBO A BORDO DE METRO S.V.,2020-08,8785911
107,44,ROBO A BORDO DE METRO S.V.,2020-09,8785911
108,54,ROBO A BORDO DE METRO S.V.,2020-10,8785911
109,65,ROBO A BORDO DE METRO S.V.,2020-11,8785911
110,44,ROBO A BORDO DE METRO S.V.,2020-12,8785911
111,39,ROBO A BORDO DE METRO S.V.,2021-01,8785911
112,49,ROBO A BORDO DE METRO S.V.,2021-02,8785911
113,77,ROBO A BORDO DE METRO S.V.,2021-03,8785911
114,59,ROBO A BORDO DE METRO S.V.,2021-04,8785911
115,58,ROBO A BORDO DE METRO S.V.,2021-05,8785911
116,135,ROBO A BORDO DE MICROBUS C.V.,2019-01,8785911
117,111,ROBO A BORDO DE MICROBUS C.V.,2019-02,8785911
118,86,ROBO A BORDO DE MICROBUS C.V.,2019-03,8785911
119,78,ROBO A BORDO DE MICROBUS C.V.,2019-04,8785911
120,98,ROBO A BORDO DE MICROBUS C.V.,2019-05,8785911
121,96,ROBO A BORDO DE MICROBUS C.V.,2019-06,8785911
122,63,ROBO A BORDO DE MICROBUS C.V.,2019-07,8785911
123,75,ROBO A BORDO DE MICROBUS C.V.,2019-08,8785911
124,78,ROBO A BORDO DE MICROBUS C.V.,2019-09,8785911
125,69,ROBO A BORDO DE MICROBUS C.V.,2019-10,8785911
126,54,ROBO A BORDO DE MICROBUS C.V.,2019-11,8785911
127,55,ROBO A BORDO DE MICROBUS C.V.,2019-12,8785911
128,77,ROBO A BORDO DE MICROBUS C.V.,2020-01,8785911
129,64,ROBO A BORDO DE MICROBUS C.V.,2020-02,8785911
130,48,ROBO A BORDO DE MICROBUS C.V.,2020-03,8785911
131,21,ROBO A BORDO DE MICROBUS C.V.,2020-04,8785911
132,24,ROBO A BORDO DE MICROBUS C.V.,2020-05,8785911
133,22,ROBO A BORDO DE MICROBUS C.V.,2020-06,8785911
134,35,ROBO A BORDO DE MICROBUS C.V.,2020-07,8785911
135,32,ROBO A BORDO DE MICROBUS C.V.,2020-08,8785911
136,18,ROBO A BORDO DE MICROBUS C.V.,2020-09,8785911
137,23,ROBO A BORDO DE MICROBUS C.V.,2020-10,8785911
138,31,ROBO A BORDO DE MICROBUS C.V.,2020-11,8785911
139,22,ROBO A BORDO DE MICROBUS C.V.,2020-12,8785911
140,29,ROBO A BORDO DE MICROBUS C.V.,2021-01,8785911
141,25,ROBO A BORDO DE MICROBUS C.V.,2021-02,8785911
142,23,ROBO A BORDO DE MICROBUS C.V.,2021-03,8785911
143,26,ROBO A BORDO DE MICROBUS C.V.,2021-04,8785911
144,24,ROBO A BORDO DE MICROBUS C.V.,2021-05,8785911
145,15,ROBO A BORDO DE MICROBUS S.V.,2019-01,8785911
